id,hhid,adm3,pack,variety_a,variety_b,variety_c,adm1,gender,age,elevation,lon,lat,planting_date,harverst_date,irrigation,fertilization,slope,char_1,best_1,worst_1,char_2,best_2,worst_2,char_3,best_3,worst_3,char_4,best_4,worst_4,char_5,best_5,worst_5,char_6,best_6,worst_6,char_7,best_7,worst_7,char_8,best_8,worst_8,char_9,best_9,worst_9,char_10,local_vs_var_a,local_vs_var_b,local_vs_var_c
guatemala_negro_2015_101,15833,Linda Vista - Casco Urbano,paquete 119,Azabache 40,ICTA Sayaxche ML,SEQ 342-89,San Juan Ermita,M,28,NA,-89.46578979,14.74965126,2015-09-21,2015-12-03,No,Yes,medium,vigor,B,A,size,B,A,pest_resistance,B,A,disease_resistance,B,A,drought_resistance,B,A,yield,C,B,market_value,C,B,taste,C,B,overall,C,A,overall_vs_local,Worse,Worse,Better
guatemala_negro_2015_108,14870,El Coco - Aldea Pacren,paquete 420,SEQ 342-87 ML,ICTA Ligero (testigo),SEQ 342-89,Jocotan,F,32,NA,-89.38751221,14.81338771,2015-09-12,2015-11-11,No,Yes,plain,vigor,A,C,size,A,C,pest_resistance,A,B,disease_resistance,A,B,drought_resistance,A,C,yield,A,C,market_value,A,C,taste,A,C,overall,A,C,overall_vs_local,Better,Worse,Worse
guatemala_negro_2015_109,14915,El Coco - Aldea Pacren,paquete 421,ICTA Sayaxche ML,Azabache 40,ICTA Vaina Roja,Jocotan,F,30,NA,-89.39163208,14.8293189,2015-09-13,2015-12-06,No,Yes,high,vigor,A,B,size,A,C,pest_resistance,A,B,disease_resistance,A,B,drought_resistance,A,B,yield,A,B,market_value,A,B,taste,A,B,overall,A,B,overall_vs_local,Better,Worse,Worse
guatemala_negro_2015_11,41609,La Majada,paquete 95,ICTA Ligero (testigo),SEQ 342-89,Azabache 40,San. Jacinto,F,51,NA,-89.4974704,14.7147136,2015-09-14,2015-12-04,No,No,plain,vigor,A,C,size,C,B,pest_resistance,C,A,disease_resistance,C,A,drought_resistance,NA,NA,yield,A,C,market_value,A,C,taste,A,C,overall,A,C,overall_vs_local,Better,Worse,Worse
guatemala_negro_2015_110,14933,El Coco - Aldea Pacren,paquete 422,ICTAZAM ML,MEN 2201-64 ML,MHN 322-49,Jocotan,F,21,NA,-89.37103271,14.83861155,2015-09-16,2015-12-01,No,Yes,medium,vigor,A,C,size,B,C,pest_resistance,A,C,disease_resistance,A,C,drought_resistance,A,C,yield,B,C,market_value,B,C,taste,B,C,overall,B,C,overall_vs_local,Worse,Better,Worse
guatemala_negro_2015_111,15059,El Coco - Aldea Pacren,paquete 423,SEQ 342-89,ICTA Peten ML,SEQ 342-87 ML,Jocotan,F,21,NA,-89.37927246,14.82799135,2015-09-19,2015-12-02,No,Yes,medium,vigor,B,C,size,A,B,pest_resistance,A,C,disease_resistance,A,C,drought_resistance,A,C,yield,B,A,market_value,B,A,taste,B,A,overall,B,A,overall_vs_local,Worse,Better,Worse
guatemala_negro_2015_115,15239,El Coco - Aldea Pacren,paquete 427,SEQ 342-87 ML,ICTA Vaina Roja,ICTA Ligero (testigo),Jocotan,F,19,NA,-89.38201904,14.8293189,2015-09-15,2015-12-06,No,No,medium,vigor,A,B,size,A,B,pest_resistance,A,B,disease_resistance,A,B,drought_resistance,A,B,yield,A,B,market_value,B,C,taste,B,C,overall,B,C,overall_vs_local,Better,Worse,Worse
guatemala_negro_2015_116,15248,El Coco - Aldea Pacren,paquete 428,ICTAZAM ML,ICTA Sayaxche ML,MHN 322-49,Jocotan,F,32,NA,-89.36965942,14.82400864,2015-09-14,2015-12-15,No,No,medium,vigor,B,A,size,C,A,pest_resistance,B,A,disease_resistance,B,A,drought_resistance,B,A,yield,B,C,market_value,B,C,taste,B,C,overall,B,C,overall_vs_local,Worse,Better,Worse
guatemala_negro_2015_117,15293,El Coco - Aldea Pacren,paquete 429,MEN 2201-64 ML,ICTA Peten ML,Azabache 40,Jocotan,F,32,NA,-89.36279297,14.82533621,2015-09-19,2015-12-23,No,Yes,plain,vigor,A,C,size,A,C,pest_resistance,A,C,disease_resistance,A,C,drought_resistance,A,C,yield,A,C,market_value,A,C,taste,A,C,overall,A,C,overall_vs_local,Better,Worse,Worse
guatemala_negro_2015_118,15329,El Coco - Aldea Pacren,paquete 430,SEQ 342-87 ML,ICTA Ligero (testigo),SEQ 342-89,Jocotan,F,65,NA,-89.36553955,14.82799135,2015-09-17,2015-12-13,No,No,medium,vigor,A,C,size,A,C,pest_resistance,A,C,disease_resistance,A,C,drought_resistance,A,C,yield,A,C,market_value,A,C,taste,A,C,overall,A,C,overall_vs_local,Better,Worse,Worse
